,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
75,Hotel World Map lets you search and book 60.000 hotels worldwide on an interactive Google Map. From charminging hotels on the Spanish coast to business hotel close to the conference centres.,Travel,09.09.2006,https://www.programmableweb.com/mashup/hotel-world-map,Google Maps,"Travel, Mapping",http://searchmagnified.com/?pid=9PO9AYS2H&dn=hotelworldmap.com&p_bkt=18,,
76,Great visualization of Google and Yahoo search. Type in a search and see a graph connecting the matching results across the search engines.,Visualizations,09.09.2006,https://www.programmableweb.com/mashup/google-vs-yahoo-visualized,"Google Search, Yahoo Search","Visualizations, Search",http://www.langreiter.com/exec/yahoo-vs-google.html,,
77,Search Google and Yahoo at the same time.,Search,09.07.2006,https://www.programmableweb.com/mashup/gahooyoogle,"Google Search, Yahoo Search",Search,http://www.gahooyoogle.com/,,
78,"It's a non-commercial city portal with a Google Mgap of Torun, a beatiful, medieval Polish town.",Mapping,09.05.2006,https://www.programmableweb.com/mashup/info-turin-poland,Google Maps,Mapping,http://infotorun.pl,,
79,"This map shows all UK trains currently on approach to a particular station. Data is fetched from the National Rail website. The yellow pins are stations, the red pins trains. The trains move in approximately real time.",Mapping,09.05.2006,https://www.programmableweb.com/mashup/live-uk-rail-map,Google Maps,"Mapping, England, Transportation",http://traintimes.org.uk/map/,,
80,"Dunkathon is a HotOrNot version of basketball dunking clips. Videos are retrieved by filtering clips from YouTube API and only keep the ones that are relevant to dunking and short in length, 40 sec or less.",Video,09.05.2006,https://www.programmableweb.com/mashup/dunkathon,YouTube,"Video, Sports",http://www.dunkathon.com,,
81,A youtube clone with added ability to download the video source from server to PC.,Video,09.04.2006,https://www.programmableweb.com/mashup/youtubia,YouTube,Video,http://www.youtubia.com/,,
82,Simple tool for adding an interactive store locator mapping to your website,eCommerce,09.04.2006,https://www.programmableweb.com/mashup/blipstar,Google Maps,"eCommerce, Mapping",http://www.blipstar.com/,,
83,A map of contributions to 2006 Massachusetts gubernatorial campaigns. Uses the Google Maps API and data from the Massachusetts Office of Campaign and Political finance. One of the most extensive use of data with layering on Google Maps.,Government,09.03.2006,https://www.programmableweb.com/mashup/massachusetts-campaign-contribution-map,Google Maps,"Government, Financial, Mapping",http://www.boston.com/news/special/bigarticles/campaign_finance/page2.html,,
84,"A tag-based search engine that combines results from Flickr, delicious, Technorati and Google News.",Bookmarks,09.02.2006,https://www.programmableweb.com/mashup/tagvy.com,"Flickr, del.icio.us, deCarta","Bookmarks, Blogging, Photos, Search",http://www.tagvy.com,,
